Probe_ID	Gene_Symbol
7050440	ADRB1
7570326	ADRB2
1430722	ADRB3
3290113	ADRBK1
5700181	ADRBK1
2120528	ADRBK2
4280136	ADRM1
4390121	ADRM1
5870228	ADSL
5960097	ADSS
6020333	ADSS
1660446	ADSSL1
4830372	ADSSL1
4900703	ADSSL1
6580711	AEBP1
4260671	AEBP2
5090438	AEN
1230458	AES
6180176	AES
6660491	AES
2190681	AFAP1
2690187	AFAP1
3130458	AFAP1
20154	AFAP1L1
4590133	AFAP1L2
6620711	AFAP1L2
5270195	AFAR3
1110687	AFARP1
1690086	AFARP1
3990673	AFF1
6060142	AFF1
3890088	AFF2
650753	AFF3
2230273	AFF3
2360189	AFF4
60609	AFG3L1
730730	AFG3L1
3180403	AFG3L1
5670274	AFG3L1
1170538	AFG3L2
3120681	AFM
2000497	AFMID
2070707	AFMID
2030161	AFP
450097	AFTPH
2070600	AFTPH
5570543	AFTPH
130064	AGA
2340563	AGAP1
7400333	AGAP1
5290364	AGAP11
3140608	AGAP2
1510615	AGAP3
3890431	AGAP3
6960050	AGAP6
4390523	AGAP7
2140343	AGAP8
990220	AGBL1
5340681	AGBL1
4890338	AGBL2
2350059	AGBL3
520379	AGBL4
1850075	AGBL5
6620403	AGBL5
4480747	AGC1
1940465	AGER
6620523	AGER
7200369	AGER
990754	AGFG1
4280681	AGFG1
4050368	AGFG2
5550538	AGFG2
70239	AGGF1
5130102	AGGF1
7560452	AGK
1440653	AGL
1440661	AGL
2060255	AGL
2940113	AGL
3190468	AGL
5270041	AGL
6110050	AGL
7000672	AGL
4890255	AGMAT
630437	AGPAT1
990369	AGPAT1
4610044	AGPAT1
3520671	AGPAT2
3850370	AGPAT2
5560102	AGPAT2
620064	AGPAT3
2120204	AGPAT3
3850435	AGPAT3
1440364	AGPAT4
3440025	AGPAT4
830719	AGPAT5
3870022	AGPAT6
2060477	AGPAT9
7560154	AGPS
1340021	AGR2
3140463	AGR2
4590594	AGR3
5290273	AGR3
4590131	AGRN
6370500	AGRN
2690392	AGRP
7160121	AGRP
2850301	AGT
2340347	AGTPBP1
4760427	AGTPBP1
